---- Page: "Transient"
---- Graph: "Transient"
---- Left Axis: LINEAR "Voltage (V)"
---- Bottom Axis: LINEAR "Time (s)"
---- Trace: 1 LEFT BOTTOM "V(1) | V(PR4)"
1.000000000000e-03	2.499999999996e+01
1.000001000000e-03	2.500000000009e+01
1.000003000000e-03	2.500000000110e+01
1.000007000000e-03	2.500000001580e+01
1.000010000000e-03	2.500000004800e+01
1.000010800000e-03	2.500000006237e+01
1.000012400000e-03	2.500000009604e+01
1.000015600000e-03	2.500000019357e+01
1.000022000000e-03	2.500000050134e+01
1.000032000000e-03	2.500000121447e+01
1.000042000000e-03	2.500000210353e+01
1.000052000000e-03	2.500000305705e+01
1.000062000000e-03	2.500000400077e+01
1.000072000000e-03	2.500000490027e+01
1.000082000000e-03	2.500000574563e+01
1.000092000000e-03	2.500000653573e+01
1.000102000000e-03	2.500000727256e+01
1.000112000000e-03	2.500000795912e+01
1.000122000000e-03	2.500000859868e+01
1.000132000000e-03	2.500000919449e+01
1.000142000000e-03	2.500000974966e+01
1.000152000000e-03	2.500001026711e+01
1.000162000000e-03	2.500001074959e+01
1.000172000000e-03	2.500001119967e+01
1.000182000000e-03	2.500001161975e+01
1.000192000000e-03	2.500001201209e+01
1.000202000000e-03	2.500001237880e+01
1.000212000000e-03	2.500001272184e+01
1.000222000000e-03	2.500001304307e+01
1.000232000000e-03	2.500001334422e+01
1.000242000000e-03	2.500001362691e+01
1.000252000000e-03	2.500001389268e+01
1.000262000000e-03	2.500001414296e+01
1.000272000000e-03	2.500001437910e+01
1.000282000000e-03	2.500001460239e+01
1.000292000000e-03	2.500001481402e+01
1.000302000000e-03	2.500001501514e+01
1.000312000000e-03	2.500001520683e+01
1.000322000000e-03	2.500001539011e+01
1.000332000000e-03	2.500001556597e+01
1.000342000000e-03	2.500001573534e+01
1.000352000000e-03	2.500001589912e+01
1.000362000000e-03	2.500001605817e+01
1.000372000000e-03	2.500001621333e+01
1.000382000000e-03	2.500001636539e+01
1.000392000000e-03	2.500001651516e+01
1.000402000000e-03	2.500001666339e+01
1.000412000000e-03	2.500001681085e+01
1.000422000000e-03	2.500001695827e+01
1.000432000000e-03	2.500001710642e+01
1.000442000000e-03	2.500001725603e+01
1.000452000000e-03	2.500001740786e+01
1.000462000000e-03	2.500001756265e+01
1.000472000000e-03	2.500001772119e+01
1.000482000000e-03	2.500001788428e+01
1.000492000000e-03	2.500001805272e+01
1.000502000000e-03	2.500001822736e+01
1.000512000000e-03	2.500001840910e+01
1.000522000000e-03	2.500001859886e+01
1.000532000000e-03	2.500001879762e+01
1.000542000000e-03	2.500001900641e+01
1.000552000000e-03	2.500001922634e+01
1.000562000000e-03	2.500001945859e+01
1.000572000000e-03	2.500001970441e+01
1.000582000000e-03	2.500001996517e+01
1.000592000000e-03	2.500002024231e+01
1.000602000000e-03	2.500002053741e+01
1.000612000000e-03	2.500002085218e+01
1.000622000000e-03	2.500002118845e+01
1.000632000000e-03	2.500002154822e+01
1.000642000000e-03	2.500002193364e+01
1.000652000000e-03	2.500002234704e+01
1.000662000000e-03	2.500002279092e+01
1.000672000000e-03	2.500002326797e+01
1.000682000000e-03	2.500002378107e+01
1.000692000000e-03	2.500002433329e+01
1.000702000000e-03	2.500002492785e+01
1.000712000000e-03	2.500002556812e+01
1.000722000000e-03	2.500002625758e+01
1.000732000000e-03	2.500002699975e+01
1.000742000000e-03	2.500002779816e+01
1.000752000000e-03	2.500002865618e+01
1.000762000000e-03	2.500002957699e+01
1.000772000000e-03	2.500003056340e+01
1.000782000000e-03	2.500003161773e+01
1.000792000000e-03	2.500003274162e+01
1.000802000000e-03	2.500003393596e+01
1.000812000000e-03	2.500003520067e+01
1.000822000000e-03	2.500003653471e+01
1.000832000000e-03	2.500003793594e+01
1.000842000000e-03	2.500003940123e+01
1.000852000000e-03	2.500004092646e+01
1.000862000000e-03	2.500004250669e+01
1.000872000000e-03	2.500004413633e+01
1.000882000000e-03	2.500004580936e+01
1.000892000000e-03	2.500004751954e+01
1.000902000000e-03	2.500004926064e+01
1.000912000000e-03	2.500005102657e+01
1.000922000000e-03	2.500005281163e+01
1.000932000000e-03	2.500005461054e+01
1.000942000000e-03	2.500005641855e+01
1.000952000000e-03	2.500005823146e+01
1.000962000000e-03	2.500006004565e+01
1.000972000000e-03	2.500006185802e+01
1.000982000000e-03	2.500006366598e+01
1.000992000000e-03	2.500006546740e+01
1.001002000000e-03	2.500006726055e+01
1.001012000000e-03	2.500006904404e+01
1.001022000000e-03	2.500007081679e+01
1.001032000000e-03	2.500007257794e+01
1.001042000000e-03	2.500007432687e+01
1.001052000000e-03	2.500007606309e+01
1.001062000000e-03	2.500007778625e+01
1.001072000000e-03	2.500007949612e+01
1.001082000000e-03	2.500008119254e+01
1.001092000000e-03	2.500008287542e+01
1.001102000000e-03	2.500008454470e+01
1.001112000000e-03	2.500008620039e+01
1.001122000000e-03	2.500008784250e+01
1.001132000000e-03	2.500008947107e+01
1.001142000000e-03	2.500009108617e+01
1.001152000000e-03	2.500009268785e+01
1.001162000000e-03	2.500009427621e+01
1.001172000000e-03	2.500009585132e+01
1.001182000000e-03	2.500009741326e+01
1.001192000000e-03	2.500009896213e+01
1.001202000000e-03	2.500010049801e+01
1.001212000000e-03	2.500010202101e+01
1.001222000000e-03	2.500010353120e+01
1.001232000000e-03	2.500010502869e+01
1.001242000000e-03	2.500010651357e+01
1.001252000000e-03	2.500010798592e+01
1.001262000000e-03	2.500010944585e+01
1.001272000000e-03	2.500011089343e+01
